variant,seed,episode,return,steps,accept_rate,avg_premium,loss_paid_sum,min_capital,final_capital,bankrupt,time_to_ruin,ez_steps,ez_phases,ez_repeats,exploration_steps,exploration_rate
Annealed,19,1,26346.989631005832,500,0.786,381.68041185446975,-122212.62827553933,24101.768823001486,76346.98963100581,0,-1,0,0,0,500,1.0
Annealed,19,2,105039.36360347607,500,0.794,397.57683166748933,-51646.239872087084,50000.0,155039.36360347617,0,-1,0,0,0,500,1.0
Annealed,19,3,106369.14376264447,500,0.828,384.5932408922536,-52410.818465695396,50000.0,156369.1437626445,0,-1,0,0,0,497,0.994
Annealed,19,4,88603.56836574536,500,0.776,380.92990057738785,-57641.79621181857,50000.0,138603.56836574528,0,-1,0,0,0,499,0.998
Annealed,19,5,100693.72905980053,500,0.792,385.72929775112806,-50503.101960467866,50000.0,150693.7290598006,0,-1,0,0,0,494,0.988
Annealed,19,6,101607.73829409252,500,0.804,389.0995086567912,-54344.290535006156,50000.0,151607.73829409256,0,-1,0,0,0,493,0.986
Annealed,19,7,79712.73848807937,500,0.806,392.67395109810843,-77443.13782057252,50000.0,129712.73848807937,0,-1,0,0,0,491,0.982
Annealed,19,8,122424.69566431273,500,0.838,383.5293598049865,-36561.50018980428,50000.0,172424.69566431284,0,-1,0,0,0,496,0.992
Annealed,19,9,106732.64858053585,500,0.806,385.0233298566738,-48056.51796741522,50000.0,156732.648580536,0,-1,0,0,0,492,0.984
Annealed,19,10,84892.62503803449,500,0.81,382.37728733604337,-68961.75429549252,50000.0,134892.6250380345,0,-1,0,0,0,494,0.988
Annealed,19,11,74623.65505871526,500,0.788,380.27005516090975,-74654.44954743863,50000.0,124623.65505871522,0,-1,0,0,0,495,0.99
Annealed,19,12,111177.05005707739,500,0.808,390.65743031360137,-46156.69332421408,50000.0,161177.05005707737,0,-1,0,0,0,489,0.978
Annealed,19,13,99698.9217948142,500,0.8,385.0750048315525,-53656.975808562696,50000.0,149698.92179481414,0,-1,0,0,0,482,0.964
Annealed,19,14,106549.22366629339,500,0.816,385.7362789862296,-48630.682930842304,50000.0,156549.22366629337,0,-1,0,0,0,489,0.978
Annealed,19,15,99853.18468073383,500,0.816,385.7578486145711,-53454.27377660476,50000.0,149853.18468073383,0,-1,0,0,0,478,0.956
Annealed,19,16,-373007.2442302749,285,0.8070175438596491,385.2747869097668,-161620.44521952124,-23007.24423027484,-23007.24423027484,1,284,0,0,0,273,0.9578947368421052
Annealed,19,17,90766.09649140901,500,0.852,385.34554399682884,-72141.45943665509,45550.04548997062,140766.09649140912,0,-1,0,0,0,480,0.96
Annealed,19,18,117323.10686555131,500,0.808,388.1356485350297,-34650.951305739145,50000.0,167323.1068655515,0,-1,0,0,0,485,0.97
Annealed,19,19,106897.05947678693,500,0.794,393.0166296790769,-47756.24384387479,50000.0,156897.0594767869,0,-1,0,0,0,477,0.954
Annealed,19,20,101291.79953479127,500,0.81,391.0409923730073,-56326.267893623924,50000.0,151291.79953479127,0,-1,0,0,0,479,0.958
Annealed,19,21,94015.46654119299,500,0.804,389.9651790293888,-62064.31082859317,50000.0,144015.46654119305,0,-1,0,0,0,480,0.96
Annealed,19,22,99691.58392653521,500,0.788,391.3045741180478,-53273.8903790622,50000.0,149691.5839265352,0,-1,0,0,0,473,0.946
Annealed,19,23,93675.73297247129,500,0.826,388.9152591084164,-63408.23441626136,50000.0,143675.73297247142,0,-1,0,0,0,478,0.956
Annealed,19,24,105693.25849839114,500,0.846,381.60189565473695,-55125.32933466771,50000.0,155693.25849839122,0,-1,0,0,0,479,0.958
Annealed,19,25,98928.90707034245,500,0.784,388.0693928051968,-52837.56206682965,50000.0,148928.90707034248,0,-1,0,0,0,475,0.95
Annealed,19,26,102848.6215579743,500,0.786,379.82290472268454,-46036.851995775105,50000.0,152848.62155797437,0,-1,0,0,0,475,0.95
Annealed,19,27,104288.74731139303,500,0.818,387.9511054722196,-53300.59486887943,50000.0,154288.74731139312,0,-1,0,0,0,472,0.944
Annealed,19,28,65641.41889681258,500,0.796,396.5929693696487,-88881.62202051393,50000.0,115641.41889681264,0,-1,0,0,0,477,0.954
Annealed,19,29,110734.44776172329,500,0.814,385.05455012286325,-45752.58352447432,50000.0,160734.44776172325,0,-1,0,0,0,479,0.958
Annealed,19,30,108645.66180087431,500,0.814,389.08305186428663,-48985.32318726116,50000.0,158645.66180087416,0,-1,0,0,0,477,0.954
Annealed,19,31,117879.27555421043,500,0.828,384.79710563830133,-40337.150419108046,50000.0,167879.2755542105,0,-1,0,0,0,476,0.952
Annealed,19,32,56659.12759391063,500,0.786,381.1257042848427,-92760.79689342325,16410.00243086771,106659.12759391061,0,-1,0,0,0,472,0.944
Annealed,19,33,50329.556444240785,500,0.8,384.5580040359497,-102757.80637151863,50000.0,100329.5564442408,0,-1,0,0,0,480,0.96
Annealed,19,34,102835.67392444903,500,0.802,385.1361644737738,-49726.30036575304,50000.0,152835.6739244492,0,-1,0,0,0,461,0.922
Annealed,19,35,105301.42174924872,500,0.82,387.4517120617192,-52532.37511172224,50000.0,155301.42174924872,0,-1,0,0,0,463,0.926
Annealed,19,36,85362.70027347296,500,0.814,378.05405844283047,-61476.16186190894,50000.0,135362.70027347305,0,-1,0,0,0,466,0.932
Annealed,19,37,110609.0212688799,500,0.78,390.8041070497953,-41208.050877020854,50000.0,160609.02126887985,0,-1,0,0,0,470,0.94
Annealed,19,38,84769.56750825785,500,0.81,374.64099202097196,-63266.79408499695,50000.0,134769.56750825784,0,-1,0,0,0,466,0.932
Annealed,19,39,106783.74086866294,500,0.812,388.5448328790994,-47532.45914108509,50000.0,156783.74086866312,0,-1,0,0,0,472,0.944
Annealed,19,40,67366.77756839432,500,0.836,384.71196643017123,-91324.71725066434,50000.0,117366.77756839427,0,-1,0,0,0,464,0.928
Annealed,19,41,99056.92876056893,500,0.83,390.55036719448594,-61879.09420283619,50000.0,149056.9287605689,0,-1,0,0,0,460,0.92
Annealed,19,42,96417.70446672806,500,0.806,384.5746945778726,-58141.758872077444,50000.0,146417.70446672806,0,-1,0,0,0,470,0.94
Annealed,19,43,96057.3630028614,500,0.798,387.1288265775618,-56684.925887075515,50000.0,146057.3630028615,0,-1,0,0,0,470,0.94
Annealed,19,44,100029.9509623222,500,0.812,383.3822708752355,-53277.127540064816,50000.0,150029.95096232218,0,-1,0,0,0,461,0.922
Annealed,19,45,87455.42901452837,500,0.836,389.422971970727,-73134.65988411669,50000.0,137455.42901452843,0,-1,0,0,0,459,0.918
Annealed,19,46,88213.28461695617,500,0.818,380.8870465493144,-66628.55917547797,50000.0,138213.2846169562,0,-1,0,0,0,453,0.906
Annealed,19,47,100415.6762395079,500,0.842,386.93492222625116,-60236.59790273932,50000.0,150415.67623950785,0,-1,0,0,0,452,0.904
Annealed,19,48,-389477.664602152,314,0.821656050955414,388.14419110800867,-189618.86590801826,-39477.66460215206,-39477.66460215206,1,313,0,0,0,286,0.910828025477707
Annealed,19,49,95680.73353367878,500,0.832,382.56154265541295,-61255.01596645351,50000.0,145680.73353367887,0,-1,0,0,0,450,0.9
Annealed,19,50,73705.34211346561,500,0.812,385.98621236162234,-82309.30736042127,50000.0,123705.34211346554,0,-1,0,0,0,447,0.894
Annealed,19,51,104334.64894379847,500,0.81,388.27160950060244,-51084.86322985501,50000.0,154334.6489437984,0,-1,0,0,0,451,0.902
Annealed,19,52,93864.96876267917,500,0.808,381.6742623005763,-56896.151845903405,50000.0,143864.96876267926,0,-1,0,0,0,456,0.912
Annealed,19,53,91909.6569703952,500,0.812,386.34778837030154,-64747.85429148798,50000.0,141909.65697039518,0,-1,0,0,0,452,0.904
Annealed,19,54,105142.30153724397,500,0.806,390.37022888098403,-50725.21040136653,50000.0,155142.30153724397,0,-1,0,0,0,444,0.888
Annealed,19,55,102023.66394872394,500,0.8,386.9190057337284,-52104.80392659347,50000.0,152023.66394872396,0,-1,0,0,0,439,0.878
Annealed,19,56,119997.27180262147,500,0.814,392.1405456587489,-39138.558848658926,50000.0,169997.2718026214,0,-1,0,0,0,445,0.89
Annealed,19,57,97341.91293429573,500,0.832,388.82788988603994,-63845.64588910337,50000.0,147341.9129342957,0,-1,0,0,0,440,0.88
Annealed,19,58,101375.1118989771,500,0.82,389.5307371453541,-54715.05879993459,50000.0,151375.11189897696,0,-1,0,0,0,453,0.906
Annealed,19,59,-548079.7167285023,91,0.8021978021978022,375.56712707754684,-275496.11700516316,-198079.71672850227,-198079.71672850227,1,90,0,0,0,89,0.978021978021978
Annealed,19,60,106227.13753531173,500,0.83,388.10506541585346,-53310.938248076076,50000.0,156227.13753531154,0,-1,0,0,0,447,0.894
Annealed,19,61,107062.58033429076,500,0.84,380.7504814783732,-50418.1341967878,50000.0,157062.58033429072,0,-1,0,0,0,443,0.886
Annealed,19,62,102297.55633095675,500,0.838,389.39666409253505,-60295.715715760925,50000.0,152297.5563309567,0,-1,0,0,0,451,0.902
Annealed,19,63,93308.73885390289,500,0.806,386.9111718670014,-61738.167506433994,50000.0,143308.7388539029,0,-1,0,0,0,439,0.878
Annealed,19,64,80001.2340331659,500,0.796,377.59698988205224,-69017.75366061926,48322.60846815347,130001.2340331659,0,-1,0,0,0,429,0.858
Annealed,19,65,100756.99964347422,500,0.816,383.3823578240825,-54686.837100862256,50000.0,150756.99964347438,0,-1,0,0,0,436,0.872
Annealed,19,66,111322.28831615894,500,0.808,391.1554519103305,-44180.480950254016,50000.0,161322.28831615884,0,-1,0,0,0,446,0.892
Annealed,19,67,107203.51138451055,500,0.836,385.09282732694345,-51895.93199240089,50000.0,157203.51138451058,0,-1,0,0,0,420,0.84
Annealed,19,68,111178.34118252918,500,0.816,392.9068684122142,-47280.712088024215,50000.0,161178.3411825292,0,-1,0,0,0,430,0.86
Annealed,19,69,68820.96290780645,500,0.83,382.51855889860406,-88746.39323723972,49016.9833236086,118820.9629078064,0,-1,0,0,0,450,0.9
Annealed,19,70,103595.93637579169,500,0.824,388.73107347094896,-55238.54897833661,50000.0,153595.9363757916,0,-1,0,0,0,444,0.888
Annealed,19,71,110981.58781052801,500,0.832,388.8951976173199,-50492.70672542193,50000.0,160981.58781052826,0,-1,0,0,0,426,0.852
Annealed,19,72,105266.03633783488,500,0.812,386.4640449667212,-50231.273019598426,50000.0,155266.03633783496,0,-1,0,0,0,445,0.89
Annealed,19,73,114556.87143305797,500,0.848,385.71226952548295,-46884.67149937334,50000.0,164556.87143305782,0,-1,0,0,0,429,0.858
Annealed,19,74,79938.7565386248,500,0.81,388.22716509030187,-75063.14209072398,50000.0,129938.75653862485,0,-1,0,0,0,423,0.846
Annealed,19,75,101213.18921312854,500,0.83,393.0785599938358,-61518.717229674134,50000.0,151213.18921312867,0,-1,0,0,0,428,0.856
Annealed,19,76,118476.73595831243,500,0.852,392.10047522285174,-47869.74973583295,50000.0,168476.73595831243,0,-1,0,0,0,433,0.866
Annealed,19,77,102602.24247233574,500,0.828,398.9178803301088,-61161.50016634718,50000.0,152602.24247233575,0,-1,0,0,0,421,0.842
Annealed,19,78,926.4445443767181,500,0.842,391.39953033374775,-163323.73236247036,50000.0,50926.44454437673,0,-1,0,0,0,421,0.842
Annealed,19,79,61895.64467789147,500,0.842,389.85463741782723,-98090.47642184467,37360.59305777475,111895.64467789145,0,-1,0,0,0,427,0.854
Annealed,19,80,113246.9378133138,500,0.81,385.0064245212225,-40818.94778135693,50000.0,163246.93781331365,0,-1,0,0,0,426,0.852
Annealed,19,81,114725.74421707136,500,0.834,387.4177512196328,-45945.25037614276,50000.0,164725.7442170713,0,-1,0,0,0,427,0.854
Annealed,19,82,-591110.3322644068,500,0.834,394.5554022708957,-121690.81404583828,-241110.33226440678,-241110.33226440678,1,499,0,0,0,416,0.832
Annealed,19,83,106612.29130323092,500,0.836,386.5023969451777,-53597.55856229905,50000.0,156612.29130323074,0,-1,0,0,0,427,0.854
Annealed,19,84,98823.78710012,500,0.794,385.54257469633666,-52489.74285761164,50000.0,148823.78710011998,0,-1,0,0,0,418,0.836
Annealed,19,85,-5890.53271611256,500,0.822,392.2910032840831,-165588.06544400734,9503.619985641984,44109.46728388743,0,-1,0,0,0,413,0.826
Annealed,19,86,103456.43762735561,500,0.84,397.42095857120694,-60892.87313021529,50000.0,153456.43762735563,0,-1,0,0,0,419,0.838
Annealed,19,87,90030.90757054754,500,0.862,391.82367109754523,-75232.28870947259,50000.0,140030.90757054748,0,-1,0,0,0,412,0.824
Annealed,19,88,-429926.476651986,55,0.7818181818181819,384.5302383400673,-146461.2769006089,-79926.47665198601,-79926.47665198601,1,54,0,0,0,51,0.9272727272727272
Annealed,19,89,110299.65359888667,500,0.846,381.82222678024436,-50094.687145445765,50000.0,160299.6535988865,0,-1,0,0,0,410,0.82
Annealed,19,90,95421.12667019428,500,0.846,382.8245901926189,-66350.2252818372,45903.940642624366,145421.12667019424,0,-1,0,0,0,428,0.856
Annealed,19,91,112374.58432780868,500,0.856,383.777574659508,-50917.26250311693,50000.0,162374.58432780855,0,-1,0,0,0,397,0.794
Annealed,19,92,107675.02622049523,500,0.842,391.7748277589431,-55901.34206715046,50000.0,157675.0262204951,0,-1,0,0,0,428,0.856
Annealed,19,93,59569.43951234518,500,0.83,382.3431377307478,-98483.09991091336,40613.228121043285,109569.43951234514,0,-1,0,0,0,402,0.804
Annealed,19,94,106738.82843713259,500,0.826,382.2876558072919,-49350.42382751701,50000.0,156738.82843713262,0,-1,0,0,0,423,0.846
Annealed,19,95,103708.23230609807,500,0.856,379.1476680073783,-57453.30761373024,50000.0,153708.23230609798,0,-1,0,0,0,404,0.808
Annealed,19,96,97429.55883211805,500,0.828,383.20773380850824,-59696.48043357523,50000.0,147429.55883211805,0,-1,0,0,0,411,0.822
