variant,seed,episode,return,steps,accept_rate,avg_premium,loss_paid_sum,min_capital,final_capital,bankrupt,time_to_ruin,ez_steps,ez_phases,ez_repeats,exploration_steps,exploration_rate
Annealed,13,1,50560.09634325624,500,0.802,381.6648422857175,-100790.75154744489,50000.0,100560.09634325624,0,-1,0,0,0,500,1.0
Annealed,13,2,93460.69440949868,500,0.79,380.9782317439212,-54493.00570764964,50000.0,143460.69440949868,0,-1,0,0,0,499,0.998
Annealed,13,3,98114.52436271975,500,0.78,382.4717996450571,-48581.110137979435,50000.0,148114.52436271985,0,-1,0,0,0,497,0.994
Annealed,13,4,87590.515973399,500,0.8,376.4090038335323,-59467.30655136553,50000.0,137590.515973399,0,-1,0,0,0,496,0.992
Annealed,13,5,93753.02401024246,500,0.788,374.12487763559756,-48446.560422767994,50000.0,143753.02401024252,0,-1,0,0,0,497,0.994
Annealed,13,6,103655.81671600441,500,0.8,384.67500446677207,-48759.212483069365,50000.0,153655.81671600445,0,-1,0,0,0,496,0.992
Annealed,13,7,98822.96921960093,500,0.804,369.3263723162276,-47840.74716692253,50000.0,148822.9692196009,0,-1,0,0,0,494,0.988
Annealed,13,8,98964.80733839216,500,0.84,377.7809561842964,-58244.4472726627,50000.0,148964.8073383924,0,-1,0,0,0,495,0.99
Annealed,13,9,91751.84901367295,500,0.772,378.9906785278123,-53381.53144749629,50000.0,141751.8490136729,0,-1,0,0,0,494,0.988
Annealed,13,10,81974.8467932566,500,0.798,378.90426437000286,-68156.5197132532,50000.0,131974.84679325664,0,-1,0,0,0,491,0.982
Annealed,13,11,116718.85657878706,500,0.798,392.01404055975433,-39174.93424969605,50000.0,166718.856578787,0,-1,0,0,0,492,0.984
Annealed,13,12,99162.87135597484,500,0.816,384.15196442487195,-57018.81818974452,50000.0,149162.87135597484,0,-1,0,0,0,490,0.98
Annealed,13,13,101330.03245357702,500,0.808,383.38119272076256,-51704.09445879966,50000.0,151330.032453577,0,-1,0,0,0,491,0.982
Annealed,13,14,113797.43232439758,500,0.794,386.9995009893134,-37616.06720820832,50000.0,163797.43232439755,0,-1,0,0,0,486,0.972
Annealed,13,15,96847.29500143799,500,0.806,381.0650173961081,-56138.774329796266,50000.0,146847.29500143797,0,-1,0,0,0,488,0.976
Annealed,13,16,112876.06820684604,500,0.804,385.55423412750014,-41356.79640577765,50000.0,162876.06820684596,0,-1,0,0,0,487,0.974
Annealed,13,17,92952.22647160786,500,0.82,378.51219951234214,-61174.96811330997,50000.0,142952.2264716078,0,-1,0,0,0,475,0.95
Annealed,13,18,124100.66243623894,500,0.828,384.97681665075,-32936.787166997725,50000.0,174100.6624362389,0,-1,0,0,0,486,0.972
