variant,seed,episode,return,steps,accept_rate,avg_premium,loss_paid_sum,min_capital,final_capital,bankrupt,time_to_ruin,ez_steps,ez_phases,ez_repeats,exploration_steps,exploration_rate
Annealed,14,1,98197.91650357292,500,0.81,385.83012861204736,-57513.89818690189,50000.0,148197.91650357295,0,-1,0,0,0,500,1.0
Annealed,14,2,100661.10188334959,500,0.812,381.39015289950254,-53132.648107841895,50000.0,150661.10188334953,0,-1,0,0,0,497,0.994
Annealed,14,3,103808.97703154267,500,0.794,383.7370327569976,-47356.69495119058,50000.0,153808.97703154272,0,-1,0,0,0,499,0.998
Annealed,14,4,-429207.658623166,177,0.7909604519774012,376.6914319515228,-181944.45909637917,-79207.65862316602,-79207.65862316602,1,176,0,0,0,176,0.9943502824858758
Annealed,14,5,108139.37694091347,500,0.824,384.18349919388595,-48988.78421088997,50000.0,158139.37694091338,0,-1,0,0,0,497,0.994
Annealed,14,6,114773.40198849844,500,0.8,388.6970047676563,-39504.23444681651,50000.0,164773.40198849843,0,-1,0,0,0,493,0.986
Annealed,14,7,91797.97030442258,500,0.812,388.0660138940576,-64755.68377271899,50000.0,141797.97030442266,0,-1,0,0,0,495,0.99
Annealed,14,8,82686.2566506181,500,0.766,388.51802116772524,-65835.1929699709,50000.0,132686.2566506182,0,-1,0,0,0,492,0.984
Annealed,14,9,101834.41410265547,500,0.812,380.2403983459097,-52435.87552994587,50000.0,151834.41410265546,0,-1,0,0,0,495,0.99
Annealed,14,10,112713.0861646972,500,0.816,384.04216081371493,-42934.501642094154,50000.0,162713.08616469722,0,-1,0,0,0,493,0.986
Annealed,14,11,121047.6971208844,500,0.796,381.441209982388,-30181.25672120532,50000.0,171047.69712088443,0,-1,0,0,0,493,0.986
Annealed,14,12,104970.94397337186,500,0.8,384.99100455641747,-46054.8340080351,50000.0,154970.94397337182,0,-1,0,0,0,488,0.976
Annealed,14,13,85524.55079352253,500,0.814,391.5931255706112,-73233.62847824005,50000.0,135524.55079352256,0,-1,0,0,0,480,0.96
Annealed,14,14,9833.50411970014,500,0.8,382.89300340294835,-140359.5809115768,48512.13120857357,59833.50411970023,0,-1,0,0,0,488,0.976
Annealed,14,15,109089.17796185774,500,0.798,384.5152929564168,-43826.1259441468,50000.0,159089.17796185767,0,-1,0,0,0,489,0.978
Annealed,14,16,99135.11665611636,500,0.828,383.03382096083266,-56306.977126728474,50000.0,149135.11665611633,0,-1,0,0,0,483,0.966
Annealed,14,17,110044.90354898821,500,0.836,384.41435921933663,-50164.629679799604,50000.0,160044.9035489882,0,-1,0,0,0,481,0.962
Annealed,14,18,109786.28214344512,500,0.802,383.14913069637043,-43267.3923740461,50000.0,159786.2821434451,0,-1,0,0,0,486,0.972
Annealed,14,19,92801.77680982613,500,0.804,377.80597446332524,-57672.64507706981,50000.0,142801.77680982611,0,-1,0,0,0,479,0.958
Annealed,14,20,110856.44438026755,500,0.812,377.6088710406731,-41794.62244986208,50000.0,160856.44438026758,0,-1,0,0,0,487,0.974
Annealed,14,21,105126.87893492554,500,0.794,379.79547017167135,-42624.55901610206,50000.0,155126.87893492554,0,-1,0,0,0,482,0.964
Annealed,14,22,103314.31826456834,500,0.806,390.801990242809,-52720.74969560206,50000.0,153314.31826456822,0,-1,0,0,0,484,0.968
Annealed,14,23,94445.0537371466,500,0.814,375.3258030654757,-57355.768813634946,50000.0,144445.0537371465,0,-1,0,0,0,468,0.936
Annealed,14,24,97668.37818186736,500,0.804,385.0497565589734,-55748.0243887617,50000.0,147668.37818186736,0,-1,0,0,0,469,0.938
Annealed,14,25,98525.58840443271,500,0.784,371.47347241761736,-45670.37604096053,50000.0,148525.58840443275,0,-1,0,0,0,471,0.942
Annealed,14,26,72039.3806425229,500,0.796,376.96985441356446,-75487.42724778959,30411.822432606154,122039.38064252285,0,-1,0,0,0,475,0.95
Annealed,14,27,111036.91083047602,500,0.822,381.6116831586889,-44191.155495790095,50000.0,161036.91083047597,0,-1,0,0,0,471,0.942
Annealed,14,28,120156.05928564312,500,0.826,385.43051270884405,-37688.6163187107,50000.0,170156.0592856431,0,-1,0,0,0,472,0.944
Annealed,14,29,84694.00382780832,500,0.784,382.1714325851324,-64514.17219825855,50000.0,134694.00382780834,0,-1,0,0,0,487,0.974
Annealed,14,30,57688.20802838675,500,0.844,390.8786780653407,-103814.40311301591,42952.413782746706,107688.20802838678,0,-1,0,0,0,476,0.952
Annealed,14,31,92490.28495208986,500,0.838,384.6186208429086,-67705.16863033356,50000.0,142490.28495208983,0,-1,0,0,0,476,0.952
Annealed,14,32,105773.60413109907,500,0.8,384.35900454640387,-47507.23205240507,50000.0,155773.60413109904,0,-1,0,0,0,472,0.944
Annealed,14,33,75289.10389248752,500,0.792,386.4808134839992,-75565.65027207158,50000.0,125289.10389248758,0,-1,0,0,0,472,0.944
Annealed,14,34,89363.80818742437,500,0.814,384.317449613051,-66074.58889485848,50000.0,139363.80818742444,0,-1,0,0,0,473,0.946
Annealed,14,35,86333.11374926535,500,0.8,383.36200405597685,-65833.7857651895,50000.0,136333.11374926535,0,-1,0,0,0,469,0.938
Annealed,14,36,104983.82138697166,500,0.808,383.0069355811223,-48146.21055532294,50000.0,154983.82138697163,0,-1,0,0,0,460,0.92
Annealed,14,37,112687.33761897641,500,0.814,384.7154840310024,-43500.1191696477,50000.0,162687.3376189765,0,-1,0,0,0,466,0.932
Annealed,14,38,60687.274302792495,500,0.802,378.8758149694029,-90757.32158473978,50000.0,110687.27430279259,0,-1,0,0,0,475,0.95
Annealed,14,39,115326.36177230222,500,0.816,385.7980444431305,-40546.86313263675,50000.0,165326.36177230228,0,-1,0,0,0,460,0.92
Annealed,14,40,76361.20910677017,500,0.794,380.84232172017136,-39308.80721696941,50000.0,126361.20910677008,0,-1,0,0,0,459,0.918
Annealed,14,41,105866.1921080603,500,0.826,382.2198594349637,-48793.805437294155,50000.0,155866.19210806035,0,-1,0,0,0,464,0.928
Annealed,14,42,100320.97415207393,500,0.798,384.8060193408402,-52718.556480476516,50000.0,150320.97415207393,0,-1,0,0,0,465,0.93
Annealed,14,43,114445.5198091668,500,0.83,387.1363911157631,-45520.641365651856,50000.0,164445.51980916687,0,-1,0,0,0,451,0.902
Annealed,14,44,95423.07045737858,500,0.846,385.06856289992095,-57108.11574439321,50000.0,145423.07045737852,0,-1,0,0,0,461,0.922
Annealed,14,45,108039.54207140894,500,0.804,387.11940793018437,-45726.436978906924,50000.0,158039.54207140897,0,-1,0,0,0,448,0.896
Annealed,14,46,107003.40179507388,500,0.806,381.4253150286805,-44616.465861401746,50000.0,157003.4017950738,0,-1,0,0,0,452,0.904
Annealed,14,47,78431.64584209383,500,0.816,388.7931415929514,-78138.67509893823,43048.250992890746,128431.64584209386,0,-1,0,0,0,455,0.91
Annealed,14,48,111698.37468676582,500,0.794,379.0025231195637,-37825.215788847556,50000.0,161698.37468676578,0,-1,0,0,0,440,0.88
Annealed,14,49,117539.49254516323,500,0.828,388.81256492702283,-42150.59532880494,50000.0,167539.4925451634,0,-1,0,0,0,449,0.898
Annealed,14,50,76346.78577784088,500,0.794,382.67808992256147,-73389.77917926437,50000.0,126346.78577784091,0,-1,0,0,0,452,0.904
Annealed,14,51,122752.63919033442,500,0.834,389.2019233120431,-39269.44711759033,50000.0,172752.63919033442,0,-1,0,0,0,448,0.896
Annealed,14,52,94108.31586981461,500,0.83,384.42410169394617,-63966.53141432933,50000.0,144108.31586981466,0,-1,0,0,0,439,0.878
Annealed,14,53,109459.4069821143,500,0.834,377.83597594656817,-45731.88257433773,50000.0,159459.40698211425,0,-1,0,0,0,440,0.88
Annealed,14,54,102362.82283441324,500,0.808,390.7584210103101,-47820.52983177411,50000.0,152362.82283441324,0,-1,0,0,0,442,0.884
Annealed,14,55,100700.88271225903,500,0.83,385.8554268124592,-58557.06235420127,50000.0,150700.88271225896,0,-1,0,0,0,455,0.91
Annealed,14,56,-505849.0660594649,468,0.8525641025641025,390.74988019914554,-361758.26825892396,-155849.06605946488,-155849.06605946488,1,467,0,0,0,426,0.9102564102564102
Annealed,14,57,90943.225959387,500,0.81,386.4908693501979,-65033.83212264646,50000.0,140943.225959387,0,-1,0,0,0,452,0.904
Annealed,14,58,85998.6031782917,500,0.812,376.18818163871765,-65262.63360098246,50000.0,135998.60317829167,0,-1,0,0,0,450,0.9
Annealed,14,59,118112.12364410797,500,0.814,393.75135622563465,-41538.30123390485,50000.0,168112.1236441081,0,-1,0,0,0,442,0.884
Annealed,14,60,108123.03953502391,500,0.824,392.71845130087104,-52091.3840941525,50000.0,158123.0395350239,0,-1,0,0,0,442,0.884
Annealed,14,61,109600.99215777911,500,0.83,386.69205346279836,-49737.76587014933,50000.0,159600.99215777917,0,-1,0,0,0,443,0.886
Annealed,14,62,82752.47609203687,500,0.84,384.376195922352,-75136.29818806425,50000.0,132752.4760920368,0,-1,0,0,0,430,0.86
Annealed,14,63,95741.87220779495,500,0.818,383.8132082570736,-59725.13968817635,50000.0,145741.87220779498,0,-1,0,0,0,451,0.902
Annealed,14,64,104906.5944424246,500,0.846,377.9101705122783,-53994.129935952704,50000.0,154906.59444242463,0,-1,0,0,0,441,0.882
Annealed,14,65,83380.88923143318,500,0.81,390.09778367972666,-73016.2361442512,50000.0,133380.88923143322,0,-1,0,0,0,429,0.858
Annealed,14,66,90859.47257620329,500,0.806,377.8173744151965,-60693.74743596146,50000.0,140859.4725762033,0,-1,0,0,0,452,0.904
Annealed,14,67,75556.7614714736,500,0.824,393.6514622898935,-85790.2500220017,50000.0,125556.76147147364,0,-1,0,0,0,441,0.882
Annealed,14,68,95745.6220463898,500,0.838,386.83341889848003,-65556.50860427557,50000.0,145745.6220463898,0,-1,0,0,0,426,0.852
Annealed,14,69,106162.55847970252,500,0.84,389.02667223839535,-56540.72296850053,50000.0,156162.55847970257,0,-1,0,0,0,443,0.886
Annealed,14,70,104591.7440207947,500,0.808,391.1683222680989,-53061.15237164152,50000.0,154591.74402079466,0,-1,0,0,0,430,0.86
Annealed,14,71,101744.9902283699,500,0.834,376.736694843649,-54276.72650658217,50000.0,151744.99022836986,0,-1,0,0,0,431,0.862
Annealed,14,72,99463.92701743309,500,0.818,394.40489552947884,-56119.12714938521,50000.0,149463.9270174331,0,-1,0,0,0,430,0.86
Annealed,14,73,108651.84672197625,500,0.816,382.50784801034365,-45216.56688498555,50000.0,158651.84672197612,0,-1,0,0,0,427,0.854
Annealed,14,74,99612.77456636772,500,0.822,388.1897862114175,-58849.052982125104,50000.0,149612.77456636773,0,-1,0,0,0,442,0.884
Annealed,14,75,106545.45811118963,500,0.824,383.7155393084276,-47855.985421460864,50000.0,156545.45811118963,0,-1,0,0,0,425,0.85
Annealed,14,76,126555.45905192604,500,0.836,388.78469375674234,-34167.636312718474,50000.0,176555.459051926,0,-1,0,0,0,434,0.868
Annealed,14,77,80024.61248306072,500,0.842,383.7406224083164,-80404.83697818549,50000.0,130024.6124830608,0,-1,0,0,0,427,0.854
Annealed,14,78,114870.11027475765,500,0.844,386.43602380707364,-47336.075018488584,50000.0,164870.1102747577,0,-1,0,0,0,425,0.85
Annealed,14,79,100579.02571813758,500,0.82,381.6253702977809,-54402.44199575197,50000.0,150579.0257181376,0,-1,0,0,0,426,0.852
Annealed,14,80,128968.69607857516,500,0.84,396.64953074228197,-37307.512403216075,50000.0,178968.69607857522,0,-1,0,0,0,419,0.838
Annealed,14,81,105797.14528906038,500,0.82,394.1219555703605,-55278.63590789034,50000.0,155797.1452890605,0,-1,0,0,0,439,0.878
