variant,seed,episode,return,steps,accept_rate,avg_premium,loss_paid_sum,min_capital,final_capital,bankrupt,time_to_ruin,ez_steps,ez_phases,ez_repeats,exploration_steps,exploration_rate
Annealed,16,1,92773.1375451024,500,0.804,382.49453154013526,-58856.555148089676,50000.0,142773.13754510248,0,-1,0,0,0,499,0.998
Annealed,16,2,76710.40000740977,500,0.794,380.78388328696377,-74042.45382336955,50000.0,126710.40000740976,0,-1,0,0,0,498,0.996
Annealed,16,3,74904.02732487112,500,0.826,370.01065659003456,-76706.50856021898,50000.0,124904.0273248712,0,-1,0,0,0,497,0.994
Annealed,16,4,96109.9384069428,500,0.8,377.43700325846675,-52428.83697202876,50000.0,146109.9384069428,0,-1,0,0,0,498,0.996
Annealed,16,5,111912.79857859817,500,0.8,375.2760042357445,-36902.13842581148,50000.0,161912.79857859816,0,-1,0,0,0,495,0.99
Annealed,16,6,82591.05276082014,500,0.79,383.13013119395777,-67404.48066771212,50000.0,132591.05276082002,0,-1,0,0,0,498,0.996
Annealed,16,7,85930.914131757,500,0.754,375.7867417386103,-53632.819149578114,50000.0,135930.91413175705,0,-1,0,0,0,494,0.988
Annealed,16,8,111375.53891465139,500,0.768,382.7437553331256,-34276.145206925525,50000.0,161375.53891465132,0,-1,0,0,0,489,0.978
Annealed,16,9,108223.81605552853,500,0.792,388.3616219530202,-44959.09728232071,50000.0,158223.81605552862,0,-1,0,0,0,490,0.98
Annealed,16,10,17521.063073931855,500,0.806,384.94491730493587,-136221.39890463668,36254.06250290308,67521.06307393186,0,-1,0,0,0,489,0.978
Annealed,16,11,62967.76910265058,500,0.786,374.9577651157331,-83006.2872769255,50000.0,112967.76910265052,0,-1,0,0,0,492,0.984
Annealed,16,12,37254.386437665875,500,0.818,383.0836234139347,-118277.21003836158,50000.0,87254.38643766579,0,-1,0,0,0,485,0.97
Annealed,16,13,101802.03536810228,500,0.834,381.376503225139,-54970.33062873346,50000.0,151802.0353681023,0,-1,0,0,0,492,0.984
Annealed,16,14,109001.45889939787,500,0.818,378.7990263959889,-45344.152830375,50000.0,159001.45889939778,0,-1,0,0,0,489,0.978
Annealed,16,15,97437.04768852095,500,0.8,382.18200449466707,-54916.57960190281,50000.0,147437.04768852092,0,-1,0,0,0,486,0.972
Annealed,16,16,102854.65030981855,500,0.798,382.93634625843595,-49385.15635704219,50000.0,152854.65030981856,0,-1,0,0,0,481,0.962
Annealed,16,17,94638.15352716678,500,0.804,379.74527708689374,-54441.12809104517,50000.0,144638.15352716672,0,-1,0,0,0,492,0.984
